"58","","Abaris","Abaris 1","1380","0","8","",""
"77","","Τέχνη ῥητορική","Abas 11","1366","151","166","",""
"77","","Hermogenes;","Abas 11","1366","237","249","",""
"77","","Hermog. VII 203","Abas 11","1366","189","205","",""
"77","","Suidas","Abas 11","1366","115","122","",""
"77","","ad.","Abas 11","1366","185","189","",""
"245","","Arbronius","Abronius","4810","56","66","",""
"245","","Abronius","Abronius","4810","0","10","",""
"245","","Porcius","Abronius","4810","133","141","",""
"245","","Silo,","Abronius","4810","107","113","",""
"297","","Alexander Polyhistor","Abydenos","4120","385","406","",""
"297","","Megasthenes","Abydenos","4120","495","508","",""
"297","","Synkellos","Abydenos","4120","280","290","",""
"297","","Eusebios","Abydenos","4120","235","244","",""
"297","","Kyrillos,","Abydenos","4120","270","280","",""
"297","","Abydenos","Abydenos","4120","0","9","",""
"297","","Berossos","Abydenos","4120","410","419","",""
"297","","Eus. PE IX 41, 1,","Abydenos","4120","78","96","",""
"297","","c. Ap. I 144","Abydenos","4120","554","567","",""
"297","","Moses","Abydenos","4120","104","110","",""
"297","","ant. X 224; c.","Abydenos","4120","542","557","",""
"297","","frg. 9. 10 ,","Abydenos","4120","508","521","",""
"338","","Scipio Aemilianus","Accius 1","4844","2413","2431","",""
"338","","Scipio Aemilianus,","Accius 1","4844","3763","3782","",""
"338","","Sueton de poetis,","Accius 1","4844","232","250","",""
"338","","Aemilius Paulus","Accius 1","4844","2393","2409","",""
"338","","Varro de l. L. X 70,","Accius 1","4844","6574","6595","",""
"338","","Cic. de leg. II 54 ,","Accius 1","4844","4175","4196","",""
"338","","Schol. Bob.","Accius 1","4844","4626","4638","",""
"338","","pro Cluent. 156","Accius 1","4844","672","689","",""
"338","","Hor. epist. II 1, 56 . A.","Accius 1","4844","3579","3605","",""
"338","","Plin. n. h. VII 128","Accius 1","4844","1433","1453","",""
"338","","Plin. n. h. XXXIV 19","Accius 1","4844","2691","2712","",""
"338","","Hieronymus","Accius 1","4844","259","270","",""
"338","","Quintilian V 13, 43","Accius 1","4844","5257","5277","",""
"338","","Cic. Arch. 27","Accius 1","4844","4641","4655","",""
"338","","Cic. Brut. 79. Liv. XXXIX 44 . A,","Accius 1","4844","1137","1171","",""
"338","","Cic. Brut. 271","Accius 1","4844","1333","1348","",""
"338","","Cic. Brut. 229 ,","Accius 1","4844","2604","2621","",""
"338","","Cic. Brut. 107.","Accius 1","4844","4137","4153","",""
"338","","Cic. Lael. 24 ,","Accius 1","4844","2363","2379","",""
"338","","Cic. Lael. 7 ,","Accius 1","4844","4223","4238","",""
"338","","Terentius","Accius 1","4844","5623","5633","",""
"338","","Val. Max. III 7, 11 ,","Accius 1","4844","3069","3091","",""
"338","","Val. Max. VIII 14, 2. Cic.","Accius 1","4844","4153","4180","",""
"338","","Flaminius","Accius 1","4844","4534","4544","",""
"338","","Lucilius","Accius 1","4844","3462","3471","",""
"338","","Lucilius,","Accius 1","4844","3546","3556","",""
"338","","Pacuvius","Accius 1","4844","2302","2311","",""
"338","","Pacuvius  Cic.","Accius 1","4844","2594","2609","",""
"338","","Pacuvius,","Accius 1","4844","3240","3250","",""
"338","","Visconti","Accius 1","4844","6251","6260","",""
